,biogas,capacity_ren,capacity_offshore,capacity_pv,demand,insulation,learning,elasticity,gasprices,woodprices,cop,ban
S4886,Biogas-,reference,Offshore-,PV-,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,reference,reference
S69,reference,reference,reference,reference,reference,reference,Learning-,Elasticity-,PriceGas+,reference,COP+,reference
S761,reference,reference,reference,PV-,Reindustrialisation,reference,Learning+,Elasticity-,reference,reference,COP+,reference
S592,reference,reference,reference,PV-,Sufficiency,reference,reference,Elasticity-,reference,reference,reference,reference
S3455,reference,Ren-,Offshore-,PV-,Reindustrialisation,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+,reference
S5881,Biogas-,Ren-,reference,PV-,Sufficiency,NoPolicy,Learning-,reference,reference,reference,COP+,reference
S419,reference,reference,reference,reference,Reindustrialisation,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,COP+,reference
S5869,Biogas-,Ren-,reference,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+,reference
S1514,reference,reference,Offshore-,PV-,Sufficiency,NoPolicy,reference,reference,reference,PriceWood+,reference,reference
S2020,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,reference,PriceGas+,reference,reference,reference
S981,reference,reference,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,COP+,reference
S3272,reference,Ren-,Offshore-,PV-,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,reference,reference,reference
S5272,Biogas-,Ren-,reference,reference,reference,NoPolicy,reference,Elasticity-,reference,reference,reference,reference
S4560,Biogas-,reference,Offshore-,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,reference,reference
S4784,Biogas-,reference,Offshore-,PV-,reference,reference,Learning+,Elasticity+,reference,reference,reference,reference
S5148,Biogas-,reference,Offshore-,PV-,Reindustrialisation,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,reference,reference
S3063,reference,Ren-,Offshore-,PV-,reference,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+,reference
S6506,Biogas-,Ren-,Offshore-,PV-,reference,reference,Learning+,reference,reference,PriceWood+,reference,reference
S2709,reference,Ren-,Offshore-,reference,reference,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,COP+,reference
S1100,reference,reference,Offshore-,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference,reference
S5269,Biogas-,Ren-,reference,reference,reference,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+,reference
S6374,Biogas-,Ren-,Offshore-,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference,reference
S2752,reference,Ren-,Offshore-,reference,Sufficiency,reference,reference,Elasticity-,reference,reference,reference,reference
S5341,Biogas-,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,COP+,reference
S2490,reference,Ren-,reference,PV-,Reindustrialisation,reference,Learning+,Elasticity-,reference,PriceWood+,reference,reference
S709,reference,reference,reference,PV-,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,COP+,reference
S2945,reference,Ren-,Offshore-,reference,Reindustrialisation,reference,Learning-,Elasticity-,reference,reference,COP+,reference
S3723,Biogas-,reference,reference,reference,Sufficiency,NoPolicy,Learning-,reference,reference,PriceWood+,COP+,reference
S4204,Biogas-,reference,reference,PV-,Reindustrialisation,reference,Learning+,reference,PriceGas+,reference,reference,reference
S6744,Biogas-,Ren-,Offshore-,PV-,Sufficiency,NoPolicy,Learning-,reference,reference,reference,reference,reference
S6169,Biogas-,Ren-,Offshore-,reference,reference,NoPolicy,Learning-,reference,reference,reference,COP+,reference
S1969,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,COP+,reference
S2341,reference,Ren-,reference,PV-,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,COP+,reference
S3906,Biogas-,reference,reference,PV-,reference,reference,reference,Elasticity-,reference,PriceWood+,reference,reference
S5763,Biogas-,Ren-,reference,PV-,Sufficiency,reference,reference,reference,reference,PriceWood+,COP+,reference
S3764,Biogas-,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,reference,reference,reference
S4461,Biogas-,reference,Offshore-,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+,reference
S6824,Biogas-,Ren-,Offshore-,PV-,Reindustrialisation,reference,Learning-,Elasticity+,reference,reference,reference,reference
S4466,Biogas-,reference,Offshore-,reference,Sufficiency,reference,reference,reference,reference,PriceWood+,reference,reference
S1968,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,reference,reference
S1875,reference,Ren-,reference,reference,Sufficiency,reference,reference,reference,reference,PriceWood+,COP+,reference
S5336,Biogas-,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,reference,reference,reference
S6621,Biogas-,Ren-,Offshore-,PV-,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+,reference
S6039,Biogas-,Ren-,reference,PV-,Reindustrialisation,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+,reference
S36,reference,reference,reference,reference,reference,reference,Learning+,Elasticity+,PriceGas+,reference,reference,reference
