,hour,elec_spot_price_2020,CH4_spot_price_2020,hour,elec_spot_price_2025,CH4_spot_price_2025
0,0,34.75000000000001,13.9,0,32.5177021487511,22.499999999999996
1,1,30.10612952133421,13.9,1,32.5177021487511,22.499999999999996
2,2,30.10612952133421,13.9,2,32.5177021487511,22.499999999999996
3,3,24.385964912280706,13.9,3,32.5177021487511,22.499999999999996
4,4,24.385964912280706,13.9,4,32.5177021487511,22.499999999999996
5,5,24.385964912280706,13.9,5,32.5177021487511,22.499999999999996
6,6,24.385964912280706,13.9,6,32.5177021487511,22.499999999999996
7,7,24.385964912280706,13.9,7,32.5177021487511,22.499999999999996
8,8,24.385964912280706,13.9,8,32.5177021487511,22.499999999999996
9,9,24.385964912280706,13.9,9,32.5177021487511,22.499999999999996
10,10,24.385964912280706,13.9,10,32.5177021487511,22.499999999999996
11,11,24.385964912280706,13.9,11,32.5177021487511,22.499999999999996
12,12,24.385964912280706,13.9,12,32.5177021487511,22.499999999999996
13,13,24.385964912280706,13.9,13,32.5177021487511,22.499999999999996
14,14,24.385964912280706,13.9,14,32.5177021487511,22.499999999999996
15,15,24.385964912280706,13.9,15,32.5177021487511,22.499999999999996
16,16,24.385964912280706,13.9,16,32.5177021487511,22.499999999999996
17,17,24.385964912280706,13.9,17,32.5177021487511,22.499999999999996
18,18,24.385964912280706,13.9,18,32.5177021487511,22.499999999999996
19,19,30.10612952133421,13.9,19,32.5177021487511,22.499999999999996
20,20,30.10612952133421,13.9,20,32.5177021487511,22.499999999999996
21,21,30.10612952133421,13.9,21,32.5177021487511,22.499999999999996
22,22,24.385964912280706,13.9,22,32.5177021487511,22.499999999999996
23,23,30.10612952133421,13.9,23,32.5177021487511,22.499999999999996
24,24,30.10612952133421,13.9,24,32.5177021487511,22.499999999999996
25,25,24.385964912280706,13.9,25,32.5177021487511,22.499999999999996
26,26,24.385964912280706,13.9,26,32.5177021487511,22.499999999999996
27,27,24.385964912280706,13.9,27,32.5177021487511,22.499999999999996
28,28,24.385964912280706,13.9,28,32.5177021487511,22.499999999999996
29,29,24.385964912280706,13.9,29,32.5177021487511,22.499999999999996
30,30,24.385964912280706,13.9,30,32.5177021487511,22.499999999999996
31,31,24.385964912280706,13.9,31,32.5177021487511,22.499999999999996
32,32,34.75000000000001,13.9,32,32.5177021487511,22.499999999999996
33,33,34.75000000000001,13.9,33,32.5177021487511,22.499999999999996
34,34,34.75000000000001,13.9,34,32.5177021487511,22.499999999999996
35,35,34.75000000000001,13.9,35,32.5177021487511,22.499999999999996
36,36,34.75000000000001,13.9,36,32.5177021487511,22.499999999999996
37,37,34.75000000000001,13.9,37,32.5177021487511,22.499999999999996
38,38,34.75000000000001,13.9,38,32.5177021487511,22.499999999999996
39,39,34.75000000000001,13.9,39,32.5177021487511,22.499999999999996
40,40,34.75000000000001,13.9,40,32.5177021487511,22.499999999999996
41,41,34.75000000000001,13.9,41,32.5177021487511,22.499999999999996
42,42,34.75000000000001,13.9,42,32.5177021487511,22.499999999999996
43,43,34.75000000000001,13.9,43,32.5177021487511,22.499999999999996
44,44,34.75000000000001,13.9,44,32.5177021487511,22.499999999999996
45,45,34.75000000000001,13.9,45,32.5177021487511,22.499999999999996
46,46,34.75000000000001,13.9,46,32.5177021487511,22.499999999999996
47,47,34.75000000000001,13.9,47,32.5177021487511,22.499999999999996
48,48,34.75000000000001,13.9,48,32.5177021487511,22.499999999999996
49,49,34.75000000000001,13.9,49,32.5177021487511,22.499999999999996
50,50,28.1475,13.9,50,32.5177021487511,22.499999999999996
51,51,28.1475,13.9,51,32.5177021487511,22.499999999999996
52,52,28.1475,13.9,52,32.5177021487511,22.499999999999996
53,53,28.1475,13.9,53,32.5177021487511,22.499999999999996
54,54,34.75000000000001,13.9,54,32.5177021487511,22.499999999999996
55,55,34.75000000000001,13.9,55,32.5177021487511,22.499999999999996
