,hour,elec_spot_price_2020,CH4_spot_price_2020,hour,elec_spot_price_2025,CH4_spot_price_2025,hour,elec_spot_price_2030,CH4_spot_price_2030
0,0,34.75000000000001,13.9,0,32.51770214875106,22.499999999999996,0,45.025462411044444,102.82183085002056
1,1,30.10612952133421,13.9,1,32.51770214875106,22.499999999999996,1,45.025462411044444,102.82183085002056
2,2,30.10612952133421,13.9,2,32.51770214875106,22.499999999999996,2,45.025462411044444,102.82183085002056
3,3,24.385964912280706,13.9,3,32.51770214875106,22.499999999999996,3,45.025462411044444,102.82183085002056
4,4,24.385964912280706,13.9,4,32.51770214875106,22.499999999999996,4,45.025462411044444,102.82183085002056
5,5,24.385964912280706,13.9,5,32.51770214875106,22.499999999999996,5,45.025462411044444,102.82183085002056
6,6,24.385964912280706,13.9,6,32.51770214875106,22.499999999999996,6,45.025462411044444,102.82183085002056
7,7,24.385964912280706,13.9,7,32.51770214875106,22.499999999999996,7,45.025462411044444,102.82183085002056
8,8,24.385964912280706,13.9,8,32.51770214875106,22.499999999999996,8,45.025462411044444,102.82183085002056
9,9,24.385964912280706,13.9,9,32.51770214875106,22.499999999999996,9,45.025462411044444,102.82183085002056
10,10,24.385964912280706,13.9,10,32.51770214875106,22.499999999999996,10,45.025462411044444,102.82183085002056
11,11,24.385964912280706,13.9,11,32.51770214875106,22.499999999999996,11,45.025462411044444,102.82183085002056
12,12,24.385964912280706,13.9,12,32.51770214875106,22.499999999999996,12,45.025462411044444,102.82183085002056
13,13,24.385964912280706,13.9,13,32.51770214875106,22.499999999999996,13,45.025462411044444,102.82183085002056
14,14,24.385964912280706,13.9,14,32.51770214875106,22.499999999999996,14,45.025462411044444,102.82183085002056
15,15,24.385964912280706,13.9,15,32.51770214875106,22.499999999999996,15,45.025462411044444,102.82183085002056
16,16,24.385964912280706,13.9,16,32.51770214875106,22.499999999999996,16,45.025462411044444,102.82183085002056
17,17,24.385964912280706,13.9,17,32.51770214875106,22.499999999999996,17,45.025462411044444,102.82183085002056
18,18,24.385964912280706,13.9,18,32.51770214875106,22.499999999999996,18,45.025462411044444,102.82183085002056
19,19,30.10612952133421,13.9,19,32.51770214875106,22.499999999999996,19,45.025462411044444,102.82183085002056
20,20,30.10612952133421,13.9,20,32.51770214875106,22.499999999999996,20,45.025462411044444,102.82183085002056
21,21,30.10612952133421,13.9,21,32.51770214875106,22.499999999999996,21,45.025462411044444,102.82183085002056
22,22,24.385964912280706,13.9,22,32.51770214875106,22.499999999999996,22,45.025462411044444,102.82183085002056
23,23,30.10612952133421,13.9,23,32.51770214875106,22.499999999999996,23,45.025462411044444,102.82183085002056
24,24,30.10612952133421,13.9,24,32.51770214875106,22.499999999999996,24,45.025462411044444,102.82183085002056
25,25,24.385964912280706,13.9,25,32.51770214875106,22.499999999999996,25,45.025462411044444,102.82183085002056
26,26,24.385964912280706,13.9,26,32.51770214875106,22.499999999999996,26,45.025462411044444,102.82183085002056
27,27,24.385964912280706,13.9,27,32.51770214875106,22.499999999999996,27,45.025462411044444,102.82183085002056
28,28,24.385964912280706,13.9,28,32.51770214875106,22.499999999999996,28,45.025462411044444,102.82183085002056
29,29,24.385964912280706,13.9,29,32.51770214875106,22.499999999999996,29,45.025462411044444,102.82183085002056
30,30,24.385964912280706,13.9,30,32.51770214875106,22.499999999999996,30,45.025462411044444,102.82183085002056
31,31,24.385964912280706,13.9,31,32.51770214875106,22.499999999999996,31,45.025462411044444,102.82183085002056
32,32,34.75000000000001,13.9,32,32.51770214875106,22.499999999999996,32,45.025462411044444,102.82183085002056
33,33,34.75000000000001,13.9,33,32.51770214875106,22.499999999999996,33,45.025462411044444,102.82183085002056
34,34,34.75000000000001,13.9,34,32.51770214875106,22.499999999999996,34,45.025462411044444,102.82183085002056
35,35,34.75000000000001,13.9,35,32.51770214875106,22.499999999999996,35,45.025462411044444,102.82183085002056
36,36,34.75000000000001,13.9,36,32.51770214875106,22.499999999999996,36,45.025462411044444,102.82183085002056
37,37,34.75000000000001,13.9,37,32.51770214875106,22.499999999999996,37,45.025462411044444,102.82183085002056
38,38,34.75000000000001,13.9,38,32.51770214875106,22.499999999999996,38,45.025462411044444,102.82183085002056
39,39,34.75000000000001,13.9,39,32.51770214875106,22.499999999999996,39,45.025462411044444,102.82183085002056
40,40,34.75000000000001,13.9,40,32.51770214875106,22.499999999999996,40,45.025462411044444,102.82183085002056
41,41,34.75000000000001,13.9,41,32.51770214875106,22.499999999999996,41,45.025462411044444,102.82183085002056
42,42,34.75000000000001,13.9,42,32.51770214875106,22.499999999999996,42,55.58699063091907,102.82183085002056
43,43,34.75000000000001,13.9,43,32.51770214875106,22.499999999999996,43,55.58699063091907,102.82183085002056
44,44,34.75000000000001,13.9,44,32.51770214875106,22.499999999999996,44,55.58699063091907,102.82183085002056
45,45,34.75000000000001,13.9,45,32.51770214875106,22.499999999999996,45,45.025462411044444,102.82183085002056
46,46,34.75000000000001,13.9,46,32.51770214875106,22.499999999999996,46,45.025462411044444,102.82183085002056
47,47,34.75000000000001,13.9,47,32.51770214875106,22.499999999999996,47,45.025462411044444,102.82183085002056
48,48,34.75000000000001,13.9,48,32.51770214875106,22.499999999999996,48,45.025462411044444,102.82183085002056
49,49,34.75000000000001,13.9,49,32.51770214875106,22.499999999999996,49,45.025462411044444,102.82183085002056
50,50,28.1475,13.9,50,32.51770214875106,22.499999999999996,50,45.025462411044444,102.82183085002056
51,51,28.1475,13.9,51,32.51770214875106,22.499999999999996,51,45.025462411044444,102.82183085002056
52,52,28.1475,13.9,52,32.51770214875106,22.499999999999996,52,45.025462411044444,102.82183085002056
53,53,28.1475,13.9,53,32.51770214875106,22.499999999999996,53,45.025462411044444,102.82183085002056
54,54,34.75000000000001,13.9,54,32.51770214875106,22.499999999999996,54,45.025462411044444,102.82183085002056
55,55,34.75000000000001,13.9,55,32.51770214875106,22.499999999999996,55,55.58699063091907,102.82183085002056
56,56,34.75000000000001,13.9,56,32.51770214875106,22.499999999999996,56,45.025462411044444,102.82183085002056
57,57,34.75000000000001,13.9,57,32.51770214875106,22.499999999999996,57,45.025462411044444,102.82183085002056
58,58,34.75000000000001,13.9,58,32.51770214875106,22.499999999999996,58,45.025462411044444,102.82183085002056
59,59,34.75000000000001,13.9,59,32.51770214875106,22.499999999999996,59,45.025462411044444,102.82183085002056
60,60,34.75000000000001,13.9,60,32.51770214875106,22.499999999999996,60,45.025462411044444,102.82183085002056
61,61,34.75000000000001,13.9,61,32.51770214875106,22.499999999999996,61,45.025462411044444,102.82183085002056
62,62,34.75000000000001,13.9,62,32.51770214875106,22.499999999999996,62,45.025462411044444,102.82183085002056
63,63,34.75000000000001,13.9,63,32.51770214875106,22.499999999999996,63,45.025462411044444,102.82183085002056
64,64,34.75000000000001,13.9,64,32.51770214875106,22.499999999999996,64,45.025462411044444,102.82183085002056
65,65,34.75000000000001,13.9,65,32.51770214875106,22.499999999999996,65,55.58699063091907,102.82183085002056
66,66,34.75000000000001,13.9,66,39.473684210526315,22.499999999999996,66,58.693098510012334,102.82183085002056
67,67,34.75000000000001,13.9,67,39.473684210526315,22.499999999999996,67,58.69309851001234,102.82183085002056
68,68,34.75000000000001,13.9,68,32.51770214875106,22.499999999999996,68,55.58699063091907,102.82183085002056
69,69,34.75000000000001,13.9,69,32.51770214875106,22.499999999999996,69,45.025462411044444,102.82183085002056
70,70,34.75000000000001,13.9,70,32.51770214875106,22.499999999999996,70,45.025462411044444,102.82183085002056
71,71,34.75000000000001,13.9,71,32.51770214875106,22.499999999999996,71,45.025462411044444,102.82183085002056
72,72,34.75000000000001,13.9,72,32.51770214875106,22.499999999999996,72,45.025462411044444,102.82183085002056
73,73,34.75000000000001,13.9,73,32.51770214875106,22.499999999999996,73,45.025462411044444,102.82183085002056
74,74,34.75000000000001,13.9,74,32.51770214875106,22.499999999999996,74,45.025462411044444,102.82183085002056
75,75,28.1475,13.9,75,32.51770214875106,22.499999999999996,75,45.025462411044444,102.82183085002056
76,76,28.1475,13.9,76,32.51770214875106,22.499999999999996,76,45.025462411044444,102.82183085002056
77,77,28.1475,13.9,77,32.51770214875106,22.499999999999996,77,45.025462411044444,102.82183085002056
78,78,34.75000000000001,13.9,78,32.51770214875106,22.499999999999996,78,45.025462411044444,102.82183085002056
79,79,34.75000000000001,13.9,79,32.51770214875106,22.499999999999996,79,45.025462411044444,102.82183085002056
80,80,34.75000000000001,13.9,80,32.51770214875106,22.499999999999996,80,45.025462411044444,102.82183085002056
81,81,34.75000000000001,13.9,81,32.51770214875106,22.499999999999996,81,45.025462411044444,102.82183085002056
82,82,34.75000000000001,13.9,82,32.51770214875106,22.499999999999996,82,45.025462411044444,102.82183085002056
83,83,34.75000000000001,13.9,83,32.51770214875106,22.499999999999996,83,45.025462411044444,102.82183085002056
84,84,34.75000000000001,13.9,84,32.51770214875106,22.499999999999996,84,45.025462411044444,102.82183085002056
85,85,34.75000000000001,13.9,85,32.51770214875106,22.499999999999996,85,45.025462411044444,102.82183085002056
86,86,34.75000000000001,13.9,86,32.51770214875106,22.499999999999996,86,45.025462411044444,102.82183085002056
