,biogas,capacity_ren,capacity_offshore,capacity_pv,demand,insulation,learning,elasticity,gasprices,woodprices,cop
S0,reference,reference,reference,reference,reference,reference,reference,reference,reference,reference,reference
S1,reference,reference,reference,reference,reference,reference,reference,reference,reference,reference,COP+
S2,reference,reference,reference,reference,reference,reference,reference,reference,reference,PriceWood+,reference
S3,reference,reference,reference,reference,reference,reference,reference,reference,reference,PriceWood+,COP+
S4,reference,reference,reference,reference,reference,reference,reference,reference,PriceGas+,reference,reference
S5,reference,reference,reference,reference,reference,reference,reference,reference,PriceGas+,reference,COP+
S6,reference,reference,reference,reference,reference,reference,reference,reference,PriceGas+,PriceWood+,reference
S7,reference,reference,reference,reference,reference,reference,reference,reference,PriceGas+,PriceWood+,COP+
S8,reference,reference,reference,reference,reference,reference,reference,Elasticity+,reference,reference,reference
S9,reference,reference,reference,reference,reference,reference,reference,Elasticity+,reference,reference,COP+
S10,reference,reference,reference,reference,reference,reference,reference,Elasticity+,reference,PriceWood+,reference
S11,reference,reference,reference,reference,reference,reference,reference,Elasticity+,reference,PriceWood+,COP+
S12,reference,reference,reference,reference,reference,reference,reference,Elasticity+,PriceGas+,reference,reference
S13,reference,reference,reference,reference,reference,reference,reference,Elasticity+,PriceGas+,reference,COP+
S14,reference,reference,reference,reference,reference,reference,reference,Elasticity+,PriceGas+,PriceWood+,reference
S15,reference,reference,reference,reference,reference,reference,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S16,reference,reference,reference,reference,reference,reference,reference,Elasticity-,reference,reference,reference
S17,reference,reference,reference,reference,reference,reference,reference,Elasticity-,reference,reference,COP+
S18,reference,reference,reference,reference,reference,reference,reference,Elasticity-,reference,PriceWood+,reference
S19,reference,reference,reference,reference,reference,reference,reference,Elasticity-,reference,PriceWood+,COP+
S20,reference,reference,reference,reference,reference,reference,reference,Elasticity-,PriceGas+,reference,reference
S21,reference,reference,reference,reference,reference,reference,reference,Elasticity-,PriceGas+,reference,COP+
S22,reference,reference,reference,reference,reference,reference,reference,Elasticity-,PriceGas+,PriceWood+,reference
S23,reference,reference,reference,reference,reference,reference,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S24,reference,reference,reference,reference,reference,reference,Learning+,reference,reference,reference,reference
S25,reference,reference,reference,reference,reference,reference,Learning+,reference,reference,reference,COP+
S26,reference,reference,reference,reference,reference,reference,Learning+,reference,reference,PriceWood+,reference
S27,reference,reference,reference,reference,reference,reference,Learning+,reference,reference,PriceWood+,COP+
S28,reference,reference,reference,reference,reference,reference,Learning+,reference,PriceGas+,reference,reference
S29,reference,reference,reference,reference,reference,reference,Learning+,reference,PriceGas+,reference,COP+
S30,reference,reference,reference,reference,reference,reference,Learning+,reference,PriceGas+,PriceWood+,reference
S31,reference,reference,reference,reference,reference,reference,Learning+,reference,PriceGas+,PriceWood+,COP+
S32,reference,reference,reference,reference,reference,reference,Learning+,Elasticity+,reference,reference,reference
S33,reference,reference,reference,reference,reference,reference,Learning+,Elasticity+,reference,reference,COP+
S34,reference,reference,reference,reference,reference,reference,Learning+,Elasticity+,reference,PriceWood+,reference
S35,reference,reference,reference,reference,reference,reference,Learning+,Elasticity+,reference,PriceWood+,COP+
S36,reference,reference,reference,reference,reference,reference,Learning+,Elasticity+,PriceGas+,reference,reference
S37,reference,reference,reference,reference,reference,reference,Learning+,Elasticity+,PriceGas+,reference,COP+
S38,reference,reference,reference,reference,reference,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S39,reference,reference,reference,reference,reference,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S40,reference,reference,reference,reference,reference,reference,Learning+,Elasticity-,reference,reference,reference
S41,reference,reference,reference,reference,reference,reference,Learning+,Elasticity-,reference,reference,COP+
S42,reference,reference,reference,reference,reference,reference,Learning+,Elasticity-,reference,PriceWood+,reference
